name,len_input,len_HA1,cut_idx_in_original,motif,note,status
A/Fujian/411/02|EPI_ISL_21098,347,329,583,already_HA1,looks_like_HA1_only(n=347)|SP=none|tail_enforced,OK
A/Fujian/411/02|EPI_ISL_9798,329,329,583,already_HA1,looks_like_HA1_only(n=329)|SP=none,OK
A/Netherlands/222/03|EPI_ISL_4251,329,329,583,already_HA1,looks_like_HA1_only(n=329)|SP=none,OK
A/Christchurch/28/2003|EPI_ISL_177753,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Christchurch/28/2003|EPI_ISL_21217,329,329,583,already_HA1,looks_like_HA1_only(n=329)|SP=none,OK
A/Christchurch/28/2003|EPI_ISL_11942,329,329,583,already_HA1,looks_like_HA1_only(n=329)|SP=none,OK
A/Christchurch/28/2003|EPI_ISL_177752,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Philippines/1616/2007|EPI_ISL_12721624,338,329,583,already_HA1,looks_like_HA1_only(n=338)|SP=none|tail_enforced,OK
A/Trieste/31/2005|EPI_ISL_12775,324,324,583,already_HA1,looks_like_HA1_only(n=324)|SP=none,OK
A/Brisbane/3/2005|EPI_ISL_177754,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Brisbane/3/2005|EPI_ISL_177755,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Brisbane/3/2005|EPI_ISL_14284805,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Brisbane/3/2005|EPI_ISL_21256,329,329,583,already_HA1,looks_like_HA1_only(n=329)|SP=none,OK
A/Berlin/2/2006|EPI_ISL_100373,324,324,583,already_HA1,looks_like_HA1_only(n=324)|SP=none,OK
A/Victoria/503/2005|EPI_ISL_10656214,340,333,583,already_HA1,looks_like_HA1_only(n=340)|SP=none|tail_enforced,OK
A/Victoria/503/2005|EPI_ISL_10656215,337,329,583,already_HA1,looks_like_HA1_only(n=337)|SP=none|tail_enforced,OK
A/Brisbane/23/2005|EPI_ISL_10656139,347,329,583,already_HA1,looks_like_HA1_only(n=347)|SP=none|tail_enforced,OK
A/Christchurch/64/2005|EPI_ISL_10656151,344,334,583,already_HA1,looks_like_HA1_only(n=344)|SP=none|tail_enforced,OK
A/Victoria/513/2004|EPI_ISL_21253,329,329,583,already_HA1,looks_like_HA1_only(n=329)|SP=none,OK
A/Singapore/37/2004|EPI_ISL_21245,329,329,583,already_HA1,looks_like_HA1_only(n=329)|SP=none,OK
A/Singapore/37/2004|EPI_ISL_12068,340,329,583,already_HA1,looks_like_HA1_only(n=340)|SP=none|tail_enforced,OK
A/Netherlands/132/2004|EPI_ISL_398267,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Finland/487/2004|EPI_ISL_186872,329,329,583,already_HA1,looks_like_HA1_only(n=329)|SP=none,OK
A/Wellington/1/2004|EPI_ISL_65317,329,329,583,already_HA1,looks_like_HA1_only(n=329)|SP=none,OK
A/Tennessee/6/2004|EPI_ISL_21249,329,329,583,already_HA1,looks_like_HA1_only(n=329)|SP=none,OK
A/Tennessee/6/2004|EPI_ISL_11815,343,329,583,already_HA1,looks_like_HA1_only(n=343)|SP=none|tail_enforced,OK
A/Wellington/1/2004|EPI_ISL_19284885,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Wellington/1/2004|EPI_ISL_65217,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Wellington/1/2004|EPI_ISL_65317,337,329,583,already_HA1,looks_like_HA1_only(n=337)|SP=none|tail_enforced,OK
A/Wellington/1/2004|EPI_ISL_65317,329,329,583,already_HA1,looks_like_HA1_only(n=329)|SP=none,OK
A/Norway/1103/2004|EPI_ISL_10485,183,,,,motif_not_found,FAIL
A/California/7/2004|EPI_ISL_113070,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/California/7/2004|EPI_ISL_167294,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/California/7/2004|EPI_ISL_12746344,344,335,583,already_HA1,looks_like_HA1_only(n=344)|SP=none|tail_enforced,OK
A/California/7/2004|EPI_ISL_21211,344,335,583,already_HA1,looks_like_HA1_only(n=344)|SP=none|tail_enforced,OK
A/California/7/2004|EPI_ISL_21195,329,329,583,already_HA1,looks_like_HA1_only(n=329)|SP=none,OK
A/California/7/2004|EPI_ISL_21195,329,329,583,already_HA1,looks_like_HA1_only(n=329)|SP=none,OK
A/Norway/1191/2004|EPI_ISL_10486,373,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Finland/486/2004|EPI_ISL_129686,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Norway/71/2005|EPI_ISL_10490,372,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Norway/70/2005|EPI_ISL_10489,372,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Austria/207265/2005|EPI_ISL_7710,329,329,583,already_HA1,looks_like_HA1_only(n=329)|SP=none,OK
A/Finland/486/2004|EPI_ISL_9604,328,328,583,already_HA1,looks_like_HA1_only(n=328)|SP=none,OK
A/Brisbane/4/2007|EPI_ISL_356915,331,331,583,already_HA1,looks_like_HA1_only(n=331)|SP=none,OK
A/Brisbane/4/2007|EPI_ISL_356914,336,329,583,already_HA1,looks_like_HA1_only(n=336)|SP=none|tail_enforced,OK
A/Henan/Jinshui/147/2007|EPI_ISL_20561,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Henan/Jinshui/147/2007|EPI_ISL_20562,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Wisconsin/67/2005|EPI_ISL_132393,329,329,583,already_HA1,looks_like_HA1_only(n=329)|SP=none,OK
A/Wisconsin/67/2005|EPI_ISL_10430,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Wisconsin/67/2005|EPI_ISL_154520,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Wisconsin/67/2005|EPI_ISL_154552,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Wisconsin/67/2005|EPI_ISL_154529,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Wisconsin/67/2005|EPI_ISL_10430,329,329,583,already_HA1,looks_like_HA1_only(n=329)|SP=none,OK
A/Wisconsin/67/2005|EPI_ISL_115646,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Wisconsin/67/2005|EPI_ISL_167301,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Wisconsin/67/2005|EPI_ISL_21213,337,329,583,already_HA1,looks_like_HA1_only(n=337)|SP=none|tail_enforced,OK
A/Wisconsin/67/2005|EPI_ISL_154510,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Wisconsin/67/2005|EPI_ISL_154511,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Wisconsin/67/2005|EPI_ISL_154514,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Wisconsin/67/2005|EPI_ISL_154515,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Wisconsin/67/2005|EPI_ISL_154512,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Wisconsin/67/2005|EPI_ISL_154513,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Wisconsin/67/2005|EPI_ISL_154518,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Wisconsin/67/2005|EPI_ISL_154519,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Wisconsin/67/2005|EPI_ISL_154516,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Wisconsin/67/2005|EPI_ISL_154517,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Wisconsin/67/2005|EPI_ISL_154522,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Wisconsin/67/2005|EPI_ISL_154523,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Wisconsin/67/2005|EPI_ISL_154521,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Wisconsin/67/2005|EPI_ISL_154526,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Wisconsin/67/2005|EPI_ISL_154527,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Wisconsin/67/2005|EPI_ISL_154524,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Wisconsin/67/2005|EPI_ISL_154525,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Wisconsin/67/2005|EPI_ISL_154530,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Wisconsin/67/2005|EPI_ISL_154531,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Wisconsin/67/2005|EPI_ISL_154528,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Wisconsin/67/2005|EPI_ISL_154534,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Wisconsin/67/2005|EPI_ISL_154535,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Wisconsin/67/2005|EPI_ISL_154532,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Wisconsin/67/2005|EPI_ISL_154533,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Wisconsin/67/2005|EPI_ISL_154538,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Wisconsin/67/2005|EPI_ISL_154539,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Wisconsin/67/2005|EPI_ISL_154536,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Wisconsin/67/2005|EPI_ISL_154537,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Wisconsin/67/2005|EPI_ISL_154542,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Wisconsin/67/2005|EPI_ISL_154543,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Wisconsin/67/2005|EPI_ISL_154540,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Wisconsin/67/2005|EPI_ISL_154541,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Wisconsin/67/2005|EPI_ISL_154546,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Wisconsin/67/2005|EPI_ISL_154547,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Wisconsin/67/2005|EPI_ISL_154544,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Wisconsin/67/2005|EPI_ISL_154545,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Wisconsin/67/2005|EPI_ISL_154550,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Wisconsin/67/2005|EPI_ISL_154551,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Wisconsin/67/2005|EPI_ISL_154548,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Wisconsin/67/2005|EPI_ISL_154549,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Wisconsin/67/2005|EPI_ISL_10430,329,329,583,already_HA1,looks_like_HA1_only(n=329)|SP=none,OK
A/Wisconsin/67/2005|EPI_ISL_10430,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Hiroshima/52/2005|EPI_ISL_13228,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Hiroshima/52/2005|EPI_ISL_10656514,336,331,583,already_HA1,looks_like_HA1_only(n=336)|SP=none|tail_enforced,OK
A/Hiroshima/52/2005|EPI_ISL_124929,329,329,583,already_HA1,looks_like_HA1_only(n=329)|SP=none,OK
A/Wisconsin/67/2005|EPI_ISL_21089,355,329,583,already_HA1,looks_like_HA1_only(n=355)|SP=none|tail_enforced,OK
A/Hiroshima/52/2005|EPI_ISL_124926,329,329,583,already_HA1,looks_like_HA1_only(n=329)|SP=none,OK
A/Macau/557/2005|EPI_ISL_12119,343,333,583,already_HA1,looks_like_HA1_only(n=343)|SP=none|tail_enforced,OK
A/Hamburg/1/2006|EPI_ISL_22757,345,345,583,already_HA1,looks_like_HA1_only(n=345)|SP=none,OK
A/Netherlands/548/2005|EPI_ISL_398266,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Slovakia/134/2006|EPI_ISL_100371,323,323,583,already_HA1,looks_like_HA1_only(n=323)|SP=none,OK
A/Johannesburg/245/2006|EPI_ISL_100370,319,319,583,already_HA1,looks_like_HA1_only(n=319)|SP=none,OK
A/Berlin/32/2006|EPI_ISL_22754,345,345,583,already_HA1,looks_like_HA1_only(n=345)|SP=none,OK
A/Brisbane/48/2007|EPI_ISL_356917,321,321,583,already_HA1,looks_like_HA1_only(n=321)|SP=none,OK
A/Hiroshima/33/2006|EPI_ISL_12700549,340,329,583,already_HA1,looks_like_HA1_only(n=340)|SP=none|tail_enforced,OK
A/Ulaanbaatar/1600/2008|EPI_ISL_23285,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Ulaanbaatar/1600/2008|EPI_ISL_23285,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Leon/5/2009|EPI_ISL_187775,550,329,361,R/K+GLF,found_R/K+GLF_at=329|SP=auto:none,OK
A/Johannesburg/15/2008|EPI_ISL_60841,307,307,583,already_HA1,looks_like_HA1_only(n=307)|SP=none,OK
A/Leon/5/2009|EPI_ISL_61711,550,329,361,R/K+GLF,found_R/K+GLF_at=329|SP=auto:none,OK
A/Taiwan/471/2008|EPI_ISL_185116,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Taiwan/471/2008|EPI_ISL_28230,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Zagreb/1216/2007|EPI_ISL_20631,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Zagreb/1216/2007|EPI_ISL_185505,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Brisbane/54/2009|EPI_ISL_186119,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Washington/42/2007|EPI_ISL_25897,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Brisbane/24/2008|EPI_ISL_186796,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Brisbane/24/2008|EPI_ISL_23848,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Brisbane/24/2008|EPI_ISL_25972,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Taiwan/240/2009|EPI_ISL_33203,329,329,583,already_HA1,looks_like_HA1_only(n=329)|SP=none,OK
A/Berlin/5/2006|EPI_ISL_22749,345,345,583,already_HA1,looks_like_HA1_only(n=345)|SP=none,OK
A/Lyon/1381/2007|EPI_ISL_19157,334,329,583,already_HA1,looks_like_HA1_only(n=334)|SP=none|tail_enforced,OK
A/Brisbane/48/2007|EPI_ISL_356918,335,329,583,already_HA1,looks_like_HA1_only(n=335)|SP=none|tail_enforced,OK
A/Brisbane/10/2007|EPI_ISL_21856,565,328,361,R/K+GLF,found_R/K+GLF_at=344|SP=auto:16,OK
A/Brisbane/10/2007|EPI_ISL_29668,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Taiwan/760/2007|EPI_ISL_22362,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Taiwan/760/2007|EPI_ISL_22362,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Taiwan/760/2007|EPI_ISL_22363,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Taiwan/760/2007|EPI_ISL_22363,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Taiwan/760/2007|EPI_ISL_186483,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Finland/9/2008|EPI_ISL_185396,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Finland/9/2008|EPI_ISL_60842,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Johannesburg/66/2007|EPI_ISL_356948,337,329,583,already_HA1,looks_like_HA1_only(n=337)|SP=none|tail_enforced,OK
A/Johannesburg/91/2007|EPI_ISL_356951,330,330,583,already_HA1,looks_like_HA1_only(n=330)|SP=none,OK
A/Santiago/7981/2006|EPI_ISL_20140,354,328,583,already_HA1,looks_like_HA1_only(n=354)|SP=none|tail_enforced,OK
A/Santiago/7981/2006|EPI_ISL_12700605,338,329,583,already_HA1,looks_like_HA1_only(n=338)|SP=none|tail_enforced,OK
A/Uruguay/716/2007|EPI_ISL_19048,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Uruguay/716/2007|EPI_ISL_19048,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Uruguay/716/2007|EPI_ISL_19048,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Uruguay/716/2007|EPI_ISL_124898,329,329,583,already_HA1,looks_like_HA1_only(n=329)|SP=none,OK
A/Uruguay/716/2007|EPI_ISL_167303,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Uruguay/716/2007|EPI_ISL_21290,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Uruguay/716/2007|EPI_ISL_21291,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Uruguay/716/2007|EPI_ISL_14284882,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Uruguay/716/2007|EPI_ISL_21292,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Brisbane/10/2007|EPI_ISL_110723,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Brisbane/10/2007|EPI_ISL_312616,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Brisbane/10/2007|EPI_ISL_124888,329,329,583,already_HA1,looks_like_HA1_only(n=329)|SP=none,OK
A/Brisbane/10/2007|EPI_ISL_176458,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Brisbane/10/2007|EPI_ISL_13618,548,329,361,R/K+GLF,found_R/K+GLF_at=329|SP=auto:none,OK
A/Brisbane/10/2007|EPI_ISL_177756,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Brisbane/10/2007|EPI_ISL_21197,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Perth/27/2007|EPI_ISL_167302,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Perth/27/2007|EPI_ISL_356989,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Nevada/05/2007|EPI_ISL_15411,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Brisbane/10/2007|EPI_ISL_2404684,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Brisbane/10/2007|EPI_ISL_177757,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Brisbane/10/2007|EPI_ISL_21196,550,329,361,R/K+GLF,found_R/K+GLF_at=329|SP=auto:none,OK
A/Brisbane/10/2007|EPI_ISL_21196,333,329,583,already_HA1,looks_like_HA1_only(n=333)|SP=none|tail_enforced,OK
A/Brisbane/10/2007|EPI_ISL_21855,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Brisbane/10/2007|EPI_ISL_23194,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Brisbane/10/2007|EPI_ISL_25019,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Perth/27/2007|EPI_ISL_356988,329,329,583,already_HA1,looks_like_HA1_only(n=329)|SP=none,OK
A/England/669/2008|EPI_ISL_61706,550,329,361,R/K+GLF,found_R/K+GLF_at=329|SP=auto:none,OK
A/England/669/2008|EPI_ISL_188219,550,329,361,R/K+GLF,found_R/K+GLF_at=329|SP=auto:none,OK
A/Sweden/9/2008|EPI_ISL_70647,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Switzerland/1397477/2008|EPI_ISL_61731,550,329,361,R/K+GLF,found_R/K+GLF_at=329|SP=auto:none,OK
A/Switzerland/1397477/2008|EPI_ISL_187558,550,329,361,R/K+GLF,found_R/K+GLF_at=329|SP=auto:none,OK
A/England/394/2008|EPI_ISL_107683,328,328,583,already_HA1,looks_like_HA1_only(n=328)|SP=none,OK
A/Johannesburg/556/2009|EPI_ISL_60042,328,328,583,already_HA1,looks_like_HA1_only(n=328)|SP=none,OK
A/Santiago/6881/2007|EPI_ISL_187064,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Santiago/6881/2007|EPI_ISL_20544,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Sydney/230/2007|EPI_ISL_357038,329,329,583,already_HA1,looks_like_HA1_only(n=329)|SP=none,OK
A/Bratislava/144/2009|EPI_ISL_186444,338,329,583,already_HA1,looks_like_HA1_only(n=338)|SP=none|tail_enforced,OK
A/Bratislava/144/2009|EPI_ISL_61741,338,329,583,already_HA1,looks_like_HA1_only(n=338)|SP=none|tail_enforced,OK
A/Ghana/11/2008|EPI_ISL_100369,338,329,583,already_HA1,looks_like_HA1_only(n=338)|SP=none|tail_enforced,OK
A/England/392/2008|EPI_ISL_107682,328,328,583,already_HA1,looks_like_HA1_only(n=328)|SP=none,OK
A/Madagascar/4286/2009|EPI_ISL_60036,347,329,583,already_HA1,looks_like_HA1_only(n=347)|SP=none|tail_enforced,OK
A/Bucuresti/54/2009|EPI_ISL_61743,359,345,583,already_HA1,looks_like_HA1_only(n=359)|SP=none|tail_enforced,OK
A/Cameroon/445/2009|EPI_ISL_77126,362,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Lisboa/32/2009|EPI_ISL_60045,361,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Gothenburg/3/2009|EPI_ISL_68575,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Netherlands/761/2009|EPI_ISL_110727,566,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
A/Cameroon/350/2009|EPI_ISL_61696,364,329,361,R/K+GLF,found_R/K+GLF_at=345|SP=auto:16,OK
